,movieid,title,genres,Average Rating,Number of Ratings,model_score,imdbid,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,tmdbId
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.7938044530493706,1033,3919.0,112346.0,The American President,1995,1996-01-26,"Comedy, Drama, Romance",114.0,USA,"English, French, Spanish",Rob Reiner,Aaron Sorkin,Universal Pictures,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith, Samantha Mathis, Shawna Waldron, David Paymer, Anne Haney, Richard Dreyfuss, Nina Siemaszko, Wendie Malick, Beau Billingslea, Gail Strickland, Joshua Malina","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",$ 62000000,$ 60079496,$ 107879496,67.0,232.0,60.0,9087.0
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.3625,160,378.0,112896.0,Dracula: Dead and Loving It,1995,1996-02-23,"Comedy, Fantasy, Horror",88.0,"France, USA","English, German",Mel Brooks,"Mel Brooks, Rudy De Luca",Gaumont,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck, Lysette Anthony, Harvey Korman, Mel Brooks, Mark Blankfield, Megan Cavanagh, Clive Revill, Chuck McCann, Avery Schreiber, Cherie Franklin, Ezio Greggio, Leslie S. Sachs",,$ 30000000,$ 10772144,$ 10772144,,141.0,55.0,12110.0
12,13,Balto (1995),Animation|Children's,3.2626262626262625,99,323.0,112453.0,Balto,1995,1996-06-20,"Animation, Adventure, Drama",78.0,"USA, UK",English,Simon Wells,"Cliff Ruby, Elana Lesser",Amblimation,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Jack Angel, Danny Mann, Robbie Rist, Juliette Brewer, Sandra Dickinson, Miriam Margolyes, Lola Bates-Campbell, Donald Sinden, William Roberts, Garrick Hagon","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",,$ 11348324,$ 11349090,,101.0,23.0,21032.0
13,14,Nixon (1995),Drama,3.542483660130719,153,542.0,113987.0,Nixon,1995,1996-03-29,"Biography, Drama, History",192.0,USA,"English, Mandarin, Russian",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson",Cinergi Pictures Entertainment,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall, David Paymer, David Hyde Pierce, Paul Sorvino, Mary Steenburgen, J.T. Walsh, James Woods, Brian Bedford, Kevin Dunn, Fyvush Finkel",A biographical story of former U.S. President,$ 44000000,$ 13681765,$ 13681765,66.0,171.0,79.0,10858.0
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2.458904109589041,146,359.0,112760.0,Cutthroat Island,1995,1995-12-22,"Action, Adventure, Comedy",124.0,"France, Italy, Germany, USA",English,Renny Harlin,"Michael Frost Beckner, James Gorman",Beckner/Gorman Productions,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide, Stan Shaw, Rex Linn, Paul Dillon, Christopher Masterson, Jimmie F. Skaggs, Harris Yulin, Carl Chase, Peter Geeves, Angus Wright, Ken Bones",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,$ 98000000,$ 10017322,$ 10017322,37.0,189.0,71.0,1408.0
15,16,Casino (1995),Drama|Thriller,3.7932551319648096,682,2587.0,112641.0,Casino,1995,1996-03-22,"Crime, Drama",178.0,"France, USA",English,Martin Scorsese,"Nicholas Pileggi, Nicholas Pileggi",Universal Pictures,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, L.Q. Jones, Dick Smothers, Frank Vincent, John Bloom, Pasquale Cajano, Melissa Prophet, Bill Allison, Vinny Vella","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",$ 52000000,$ 42512375,$ 116112375,73.0,633.0,155.0,524.0
16,17,Sense and Sensibility (1995),Drama|Romance,4.027544910179641,835,3363.0,114388.0,Sense and Sensibility,1995,1996-02-23,"Drama, Romance",136.0,"USA, UK","English, French",Ang Lee,"Jane Austen, Emma Thompson",Columbia Pictures,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet, Emma Thompson, Gemma Jones, Hugh Grant, Emilie François, Elizabeth Spriggs, Robert Hardy, Ian Brimble, Isabelle Amyes, Alan Rickman, Greg Wise, Alexander John","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",$ 16000000,$ 43182776,$ 134582776,84.0,242.0,52.0,4584.0
17,18,Four Rooms (1995),Thriller,3.337579617834395,157,524.0,113101.0,Four Rooms,1995,1996-04-12,Comedy,98.0,USA,English,"Allison Anders, Alexandre Rockwell","Allison Anders, Alexandre Rockwell",Miramax,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna, Ione Skye, Lili Taylor, Alicia Witt, Jennifer Beals, David Proval, Antonio Banderas, Lana McKissack, Patricia Vonne, Tamlyn Tomita, Danny Verduzco, Salma Hayek",Four interlocking tales that take place in a fading hotel on New Year's Eve.,$ 4000000,$ 4257354,$ 4257354,,199.0,61.0,5.0
18,19,Ace Ventura: When Nature Calls (1995),Comedy,2.480719794344473,389,965.0,112281.0,Ace Ventura: When Nature Calls,1995,1995-12-30,"Adventure, Comedy, Crime",90.0,USA,English,Steve Oedekerk,"Jack Bernstein, Steve Oedekerk",Morgan Creek Entertainment,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo, Tommy Davidson, Adewale Akinnuoye-Agbaje, Danny Daniels, Sam Phillips, Damon Standifer, Andrew Steel, Bruce Spence, Tom Grunke, Arsenio 'Sonny' Trinidad","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",$ 30000000,$ 108385533,$ 212385533,45.0,198.0,68.0,9273.0
19,20,Money Train (1995),Action,2.5375,160,406.0,113845.0,Money Train,1995,1996-05-10,"Action, Comedy, Crime",110.0,USA,English,Joseph Ruben,"Doug Richardson, Doug Richardson",Columbia Pictures,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper, Joe Grifasi, Scott Sowers, Skipp Sudduth, Vincent Laresca, Nelson Vasquez, Vincent Patrick, Aida Turturro, Alvaleta Guess, Vincent Pastore, David Tawil","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",$ 68000000,$ 35431113,$ 35431113,,73.0,44.0,11517.0
20,21,Get Shorty (1995),Action|Comedy|Drama,3.6238938053097347,1356,4914.0,113161.0,Get Shorty,1995,1996-03-08,"Comedy, Crime, Thriller",105.0,USA,English,Barry Sonnenfeld,"Elmore Leonard, Scott Frank",Metro-Goldwyn-Mayer (MGM),"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Linda Hart, Bobby Slayton","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",$ 30250000,$ 72101622,$ 115101622,82.0,161.0,106.0,8012.0
21,22,Copycat (1995),Crime|Drama|Thriller,3.3492063492063493,378,1266.0,112722.0,Copycat,1995,1996-04-12,"Drama, Mystery, Thriller",123.0,USA,English,Jon Amiel,"Ann Biderman, David Madsen",Regency Enterprises,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr., J.E. Freeman, Will Patton, John Rothman, Shannon O'Hurley, Bob Greene, Tony Haney, Danny Kovacs, Tahmus Rounds, Scott DeVenney, David Michael Silverman",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,$ 20000000,$ 32051917,$ 32051917,54.0,168.0,66.0,1710.0
22,23,Assassins (1995),Thriller,2.857142857142857,126,360.0,112401.0,Assassins,1995,1996-01-04,"Action, Crime, Thriller",132.0,"France, USA","English, Dutch, Spanish",Richard Donner,"Lilly Wachowski, Lana Wachowski",Warner Bros.,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson, Steve Kahan, Kelly Rowan, Reed Diamond, Kai Wulff, Kerry Skalsky, James Douglas Haskins, Stephen Liska, John Harms, Edward J. Rosen, Christina Orchid",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,$ 50000000,$ 30303072,$ 30303072,,106.0,73.0,9691.0
23,24,Powder (1995),Drama|Sci-Fi,3.1794871794871793,624,1983.9999999999998,114168.0,Powder,1995,1996-07-12,"Drama, Fantasy, Mystery",111.0,USA,English,Victor Salva,Victor Salva,Caravan Pictures,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith, Bradford Tatum, Susan Tyrrell, Missy Crider, Ray Wise, Esteban Powell, Reed Frerichs, Chad Cox, Joe Marchman, Philip Maurice Hayes, Danette McMahon",An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,$ 9500000,$ 30862156,$ 30862156,,168.0,36.0,12665.0
24,25,Leaving Las Vegas (1995),Drama|Romance,3.6510204081632653,980,3578.0,113627.0,Leaving Las Vegas,1995,1996-03-07,"Drama, Romance",111.0,"France, UK, USA","English, Russian",Mike Figgis,"John O'Brien, Mike Figgis",Lumiere Pictures,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams, Emily Procter, Stuart Regen, Valeria Golino, Graham Beckel, Albert Henderson, Shashi Bhatia, Carey Lowell, Anne Lange, Thomas Kopache","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",$ 3600000,$ 32029928,$ 32029928,82.0,337.0,100.0,451.0
25,26,Othello (1995),Drama,3.53,100,353.0,114057.0,Othello,1995,1996-03-01,"Drama, Romance",123.0,"USA, UK",English,Oliver Parker,"Oliver Parker, William Shakespeare",Castle Rock Entertainment,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney, Anna Patrick, Nicholas Farrell, Indra Ové, Michael Sheen, André Oumansky, Philip Locke, John Savident, Gabriele Ferzetti, Pierre Vaneck","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",$ 11000000,$ 2844379,$ 2844379,,49.0,30.0,16420.0
26,27,Now and Then (1995),Drama,2.9344262295081966,61,179.0,114011.0,Now and Then,1995,1996-05-09,"Comedy, Drama, Romance",100.0,USA,English,Lesli Linka Glatter,I. Marlene King,New Line Cinema,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Devon Sawa, Walter Sparrow, Cloris Leachman, Lolita Davidovich, Janeane Garofalo, Hank Azaria, Bonnie Hunt",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,,$ 27112329,$ 37591674,50.0,133.0,20.0,9263.0
27,28,Persuasion (1995),Romance,4.055865921787709,179,725.9999999999999,,,,,,,,,,,,,,,,,,,,
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.062034739454094,403,1637.0,112682.0,La cité des enfants perdus,1995,1995-05-17,"Fantasy, Sci-Fi",112.0,"France, Germany, Spain, Belgium, USA","French, Cantonese","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet",Constellation,"Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon, Jean-Claude Dreyfus, Geneviève Brunet, Odile Mallet, Mireille Mossé, Serge Merlin, Rufus, Ticky Holgado, Joseph Lucien, Mapi Galán, Briac Barthélémy, Pierre-Quentin Faesch","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",$ 18000000,$ 1738611,$ 1781465,73.0,245.0,50.0,902.0
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,3.6486486486486487,74,270.0,115012.0,"Yao a yao, yao dao wai po qiao",1995,1996,"Crime, Drama, History",108.0,"France, China",Mandarin,Yimou Zhang,"Feiyu Bi, Li Xiao",Alpha Films,"Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li, Chun Sun, Biao Fu, Shu Chen, Jiang Liu, Baoying Jiang, Qianquan Yang, Ying Gao, Weiming Gao, Shuliang Lian, Ya'nan Wang, Zhang Yayun",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,,$ 2086101,$ 2086101,77.0,38.0,36.0,37557.0
30,31,Dangerous Minds (1995),Drama,3.1134751773049647,141,439.0,112792.0,Dangerous Minds,1995,1996-02-09,"Biography, Drama",99.0,USA,English,John N. Smith,"LouAnne Johnson, Ronald Bass",Hollywood Pictures,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde, John Neville, Lorraine Toussaint, Renoly Santiago, Wade Dominguez, Bruklin Harris, Marcello Thedford, Roberto Alvarez, Richard Grant, Marisela Gonzales, Toni Nichelle Buzhardt",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,$ 23000000,$ 84919401,$ 179519401,47.0,99.0,43.0,9909.0
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,3.945731303772336,1511,5962.0,114746.0,Twelve Monkeys,1995,1996-05-07,"Mystery, Sci-Fi, Thriller",129.0,USA,"English, French",Terry Gilliam,"Chris Marker, David Webb Peoples",Universal Pictures,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Madeleine Stowe, Joey Perillo, Bruce Kirkpatrick","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",$ 29000001,$ 57141459,$ 168839459,74.0,657.0,184.0,63.0
32,33,Wings of Courage (1995),Adventure|Romance,3.0,4,12.0,114952.0,Wings of Courage,1995,1996-09-18,"Adventure, Romance",50.0,"France, USA",English,Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud",Iwerks Entertainment,"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer, Ken Pogue, Ron Sauvé, Freddy Andreiuci","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",,$ 15054636,$ 15054636,,9.0,4.0,78802.0
33,34,Babe (1995),Children's|Comedy|Drama,3.8914905768132497,1751,6814.0,112431.0,Babe,1995,1996-01-19,"Comedy, Drama, Family",91.0,"Australia, USA",English,Chris Noonan,"Dick King-Smith, George Miller",Universal Pictures,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, Russi Taylor, Evelyn Krape, Michael Edward-Stevens, Charles Bartlett, Paul Livingston, Roscoe Lee Browne, James Cromwell, Magda Szubanski, Zoe Burton, Paul Goddard","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",$ 30000000,$ 63658910,$ 254134910,83.0,222.0,85.0,9598.0
34,35,Carrington (1995),Drama|Romance,3.3142857142857145,70,232.00000000000003,112637.0,Carrington,1995,1995-05-02,"Biography, Drama, Romance",121.0,"UK, France",English,Christopher Hampton,"Christopher Hampton, Michael Holroyd",PolyGram Filmed Entertainment,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell, Penelope Wilton, Janet McTeer, Peter Blythe, Jeremy Northam, Alex Kingston, Sebastian Harcombe, Richard Clifford, David Ryall, Stephen Boxer, Annabel Mullion",The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,,$ 3242342,$ 3242342,,56.0,36.0,47018.0
35,36,Dead Man Walking (1995),Drama,3.9579741379310347,928,3673.0,112818.0,Dead Man Walking,1995,1996-03-15,"Crime, Drama",122.0,"UK, USA",English,Tim Robbins,"Helen Prejean, Tim Robbins",Havoc,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston, Lois Smith, Scott Wilson, Roberta Maxwell, Margo Martindale, Barton Heyman, Steve Boles, Nesbitt Blaisdell, Ray Aranha, Larry Pine","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",$ 11000000,$ 39363635,$ 39363635,80.0,214.0,66.0,687.0
36,37,Across the Sea of Time (1995),Documentary,3.5,8,28.0,112286.0,Across the Sea of Time,1995,1995-10-20,"Adventure, Drama, Family",51.0,USA,"English, Russian",Stephen Low,Andrew Gellis,Sony New Technologies,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach, Peter Boyden, Philip Levy, Nick Muglia, Abby Lewis, Matt Malloy, Luigi Petrozza, Bernard Ferstenberg, Robert Buckley, Donald Trump, Patrick Flynn, George Gerard","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",,$ 16015639,$ 16015639,,10.0,8.0,139405.0
37,38,It Takes Two (1995),Comedy,2.8214285714285716,28,79.0,113442.0,It Takes Two,1995,1996-04-26,"Comedy, Family, Romance",101.0,USA,English,Andy Tennant,Deborah Dean Davis,Dualstar Productions,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco, Jane Sibbett, Michelle Grisom, Desmond Robertson, Tiny Mills, Shanelle Henry, Anthony Aiello, LaTonya Borsay, Michèle Lonsdale Smith, Sean Orr, Elizabeth Walsh","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",,$ 19474589,$ 19474589,45.0,58.0,24.0,33689.0
38,39,Clueless (1995),Comedy|Romance,3.6233480176211454,1362,4935.0,112697.0,Clueless,1995,1996-06-14,"Comedy, Romance",97.0,USA,"English, Spanish",Amy Heckerling,Amy Heckerling,Paramount Pictures,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison, Elisa Donovan, Breckin Meyer, Jeremy Sisto, Dan Hedaya, Aida Linares, Wallace Shawn, Twink Caplan, Justin Walker, Sabastian Rashidi, Herb Hall","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",$ 12000000,$ 56631572,$ 60895179,68.0,329.0,113.0,9603.0
39,40,"Cry, the Beloved Country (1995)",Drama,3.933333333333333,30,118.0,112749.0,"Cry, the Beloved Country",1995,1995-10-27,"Drama, Thriller",106.0,"South Africa, USA",English,Darrell Roodt,"Ronald Harwood, Alan Paton",Alpine Pty Limited,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton, Tsholofelo Wechoemang, Dolly Rathebe, Ramolao Makhene, Jack Robinson, Jennifer Steyn, Patrick Ndlovu, Darlington Michaels, King Twala, Somizi Mhlongo, Sam Ngakane, John Whiteley","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",,$ 670727,$ 670727,71.0,27.0,16.0,34615.0
40,41,Richard III (1995),Drama|War,3.958677685950413,242,958.0,114279.0,Richard III,1995,1996-04-18,"Drama, Sci-Fi, War",110.0,UK,English,Richard Loncraine,"Ian McKellen, Richard Loncraine",Mayfair Entertainment International,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson, Annette Bening, Matthew Groom, John Wood, Nigel Hawthorne, Maggie Smith, Kate Steavenson-Payne, Robert Downey Jr., Tres Hanley, Tim McInnerny, Stacey Kent, Jim Carter",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,GBP 6000000,$ 2684904,$ 2748518,,91.0,61.0,31174.0
41,42,Dead Presidents (1995),Action|Crime|Drama,2.8687782805429864,221,634.0,112819.0,Dead Presidents,1995,1995-10-06,"Action, Crime, Drama",119.0,USA,English,"Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes",Caravan Pictures,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson, N'Bushe Wright, Alvaleta Guess, James Pickens Jr., Jenifer Lewis, Clifton Powell, Elizabeth Rodriguez, Terrence Howard, Ryan Williams, Larry McCoy, Rodney Winfield","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",$ 10000000,$ 24147179,$ 24147179,,90.0,39.0,11443.0
